Num,Count
34,167
18,165
12,161
45,159
14,158
27,158
17,156
43,156
40,156
13,155
33,154
20,153
1,152
39,151
37,151
21,149
11,149
7,148
31,148
3,148
26,148
24,148
36,148
44,147
4,147
38,147
10,147
19,147
15,146
16,145
35,145
6,144
2,142
42,142
8,141
5,140
29,139
25,137
30,136
41,135
23,135
28,135
22,132
32,129
9,116
