1,야구,NPB,야쿠르트,7,1.41,히로카프,9,2.27,Away,UDW,11,1
4,야구,KBO,두산,4,1.82,키움,7,1.67,Away,SUW,11,1
7,농구,KBL,한국가스,70,1.51,모비스,79,2.05,Away,UDW,11,1
10,농구,WKBL,삼성생명,68,1.34,BNK썸,62,2.48,Home,UDW,11,1
25,농구,NBA,샬럿호네,110,1.35,클리캐벌,113,2.45,Away,UDW,11,2
28,농구,NBA,인디페이,131,1.5,샌안스퍼,118,2.07,Home,UDW,11,2
31,농구,NBA,필라76s,113,1.26,포틀트레,103,2.81,Home,UDW,11,2
34,농구,NBA,애틀호크,118,1.31,워싱위저,111,2.59,Home,UDW,11,2
37,농구,NBA,보스셀틱,114,1.57,시카불스,128,1.95,Away,UDW,11,2
40,농구,NBA,뉴욕닉스,104,1.25,토론랩터,113,2.86,Away,UDW,11,2
43,농구,NBA,멤피그리,106,1.67,덴버너게,97,1.82,Home,UDW,11,2
46,농구,NBA,미네울브,97,1.14,올랜매직,115,3.67,Away,UDW,11,2
52,농구,NBA,LA클리퍼,99,1.03,오클썬더,94,5.6,Home,UDW,11,2
55,야구,KBO,두산,16,1.8,키움,8,1.68,Home,SUW,11,2
58,농구,KBL,KCC,86,1.35,창원LG,85,2.45,Home,UDW,11,2
61,배구,KOVO남,삼성화재,3,2.72,우리카드,2,1.28,Home,SUW,11,2
64,배구,KOVO여,페퍼저축,1,3.78,흥국생명,3,1.13,Away,SUW,11,2
67,야구,MLB,휴스애스,0,1.68,애틀브레,7,1.8,Away,UDW,11,3
