7,농구,KBL,KT소닉붐,88,1.34,모비스,69,2.48,Home,UDW,3,18
10,농구,KBL,창원LG,79,1.49,서울삼성,70,2.09,Home,UDW,3,18
13,농구,WKBL,신한은행,80,1.16,하나원큐,70,3.48,Home,UDW,3,18
16,배구,KOVO남,OK금융그,1,2.22,KB손보,3,1.43,Away,SUW,3,18
43,농구,NBA,필라76s,111,1.47,댈러매버,101,2.13,Home,UDW,3,19
46,농구,NBA,애틀호크,120,3.31,멤피그리,105,1.18,Home,SUW,3,19
49,농구,NBA,브루네츠,128,1.01,포틀트레,123,6.28,Home,UDW,3,19
52,농구,NBA,클리캐벌,119,2.05,덴버너게,116,1.51,Home,SUW,3,19
55,농구,NBA,뉴욕닉스,100,1.33,워싱위저,97,2.52,Home,UDW,3,19
58,농구,NBA,토론랩터,123,1.16,LA레이커,128,3.48,Away,UDW,3,19
61,농구,NBA,마이히트,120,1.01,오클썬더,108,6.28,Home,UDW,3,19
64,농구,NBA,휴스로케,118,2.27,인디페이,121,1.41,Away,SUW,3,19
67,농구,NBA,샌안스퍼,91,1.5,뉴올펠리,124,2.07,Away,UDW,3,19
70,농구,NBA,유타재즈,121,1.3,LA클리퍼,92,2.63,Home,UDW,3,19
73,농구,NBA,피닉선즈,129,1.3,시카불스,102,2.63,Home,UDW,3,19
