1,야구,KBO,LG,2,1.46,NC,13,2.15,Away,UDW,5,17
2,야구,KBO,SK,1,1.73,두산,3,1.75,Away,UDW,5,17
3,야구,KBO,KT,3,1.92,삼성,14,1.59,Away,SUW,5,17
4,야구,KBO,키움,7,1.49,롯데,0,2.09,Home,UDW,5,17
5,야구,KBO,한화,2,1.38,KIA,5,2.35,Away,UDW,5,17
6,야구,MLB,워싱턴N,6,1.52,시카고C,14,2.03,Away,UDW,5,18
7,야구,MLB,뉴욕양키,4,1.56,탬파베R,3,1.97,Home,UDW,5,18
8,야구,MLB,필라델P,5,1.61,콜로라R,4,1.89,Home,UDW,5,18
9,야구,MLB,마이애M,8,2.76,뉴욕메츠,6,1.27,Home,SUW,5,18
10,야구,MLB,보스턴R,1,1.91,휴스턴A,3,1.6,Away,SUW,5,18
11,야구,MLB,신시내R,0,1.94,LA다저,6,1.58,Away,SUW,5,18
12,야구,MLB,디트로T,2,2.05,오클랜A,7,1.51,Away,SUW,5,18
13,야구,MLB,클리블I,1,1.35,볼티모O,5,2.45,Away,UDW,5,18
14,야구,MLB,애틀란B,12,1.52,밀워키브,8,2.03,Home,UDW,5,18
15,야구,MLB,텍사스R,7,2.0,세인트C,3,1.54,Home,SUW,5,18
16,야구,MLB,시카고W,2,1.69,토론토B,10,1.79,Away,UDW,5,18
17,농구,NBA,밀워키벅,125,1.29,토론토R,103,2.67,Home,UDW,5,18
18,야구,MLB,애리조D,7,1.59,샌프란G,0,1.92,Home,UDW,5,18
19,야구,MLB,LA에인,5,1.49,캔자스R,2,2.09,Home,UDW,5,18
20,야구,MLB,시애틀M,1,1.85,미네트윈,7,1.64,Away,SUW,5,18
21,야구,MLB,샌디에P,3,1.49,피츠버P,5,2.09,Away,UDW,5,18
25,야구,KBO,LG,3,1.91,NC,9,1.6,Away,SUW,5,18
26,야구,KBO,SK,5,1.8,두산,10,1.68,Away,SUW,5,18
27,야구,KBO,KT,2,1.6,삼성,0,1.91,Home,UDW,5,18
28,야구,KBO,키움,13,1.29,롯데,1,2.67,Home,UDW,5,18
29,야구,KBO,한화,5,1.5,KIA,2,2.07,Home,UDW,5,18
51,야구,MLB,뉴욕양키,1,1.78,탬파베R,2,1.7,Away,SUW,5,19
52,야구,MLB,시카고W,4,1.67,토론토B,1,1.82,Home,UDW,5,19
68,야구,MLB,텍사스R,2,1.91,세인트C,8,1.6,Away,SUW,5,19
69,야구,MLB,필라델P,2,1.45,콜로라R,1,2.18,Home,UDW,5,19
70,야구,MLB,클리블I,4,1.45,볼티모O,1,2.18,Home,UDW,5,19
71,야구,MLB,디트로T,1,1.84,오클랜A,4,1.65,Away,SUW,5,19
72,야구,MLB,마이애M,2,2.07,뉴욕메츠,0,1.5,Home,SUW,5,19
73,야구,MLB,신시내R,4,2.0,LA다저,0,1.54,Home,SUW,5,19
74,야구,MLB,보스턴R,3,1.73,휴스턴A,7,1.75,Away,UDW,5,19
