1,야구,KBO,KIA,4,2.05,두산,8,1.54,Away,SUW,9,18
5,야구,KBO,한화,6,1.82,KT,2,1.7,Home,SUW,9,18
38,야구,MLB,캔자로얄,6,1.96,클리가디,4,1.6,Home,SUW,9,19
50,야구,MLB,신시레즈,7,2.09,미네트윈,3,1.52,Home,SUW,9,19
53,야구,MLB,마이말린,1,1.49,뉴욕메츠,2,2.15,Away,UDW,9,19
56,야구,MLB,워싱내셔,1,1.87,시카화이,6,1.66,Away,SUW,9,19
59,야구,MLB,애틀브레,1,1.68,필라필리,7,1.85,Away,UDW,9,19
62,야구,MLB,세인카디,1,2.26,밀워브루,0,1.44,Home,SUW,9,19
65,야구,MLB,텍사레인,2,1.49,보스레드,4,2.15,Away,UDW,9,19
68,야구,MLB,휴스애스,7,1.52,볼티오리,8,2.09,Away,UDW,9,19
71,야구,MLB,샌디파드,11,1.33,콜로로키,9,2.6,Home,UDW,9,19
74,야구,MLB,오클애슬,0,2.37,시애매리,5,1.4,Away,SUW,9,19
