1,배구,남배네이,슬로베M,0,2.72,이탈리M,3,1.3,Away,SUW,7,7
4,야구,NPB,요미우리,1,1.7,요코베이,2,1.82,Away,UDW,7,7
7,야구,NPB,주니치,8,1.89,히로카프,0,1.65,Home,SUW,7,7
13,야구,NPB,라쿠텐,6,2.09,소프트뱅,5,1.52,Home,SUW,7,7
16,야구,KBO,두산,10,1.62,키움,0,1.93,Home,UDW,7,7
25,야구,KBO,KT,2,1.52,KIA,6,2.09,Away,UDW,7,7
40,배구,남배네이,일본M,3,1.26,네덜란M,1,2.92,Home,UDW,7,7
43,배구,남배네이,세르비M,1,2.97,프랑스M,3,1.25,Away,SUW,7,8
46,야구,MLB,디트타이,2,1.97,토론블루,12,1.59,Away,SUW,7,8
49,야구,MLB,탬파레이,1,1.72,애틀브레,2,1.8,Away,UDW,7,8
52,야구,MLB,마이말린,3,1.85,필라필리,4,1.68,Away,SUW,7,8
55,야구,MLB,워싱내셔,2,2.13,텍사레인,7,1.5,Away,SUW,7,8
58,야구,MLB,뉴욕양키,0,1.46,시카컵스,3,2.22,Away,UDW,7,8
61,야구,MLB,클리가디,3,1.4,캔자로얄,0,2.37,Home,UDW,7,8
64,야구,MLB,보스레드,7,1.38,오클애슬,3,2.43,Home,UDW,7,8
67,배구,남배네이,쿠바M,0,1.55,독일M,3,2.04,Away,UDW,7,8
70,야구,MLB,휴스애스,1,1.72,시애매리,10,1.8,Away,UDW,7,8
73,야구,MLB,미네트윈,1,1.52,볼티오리,3,2.09,Away,UDW,7,8
