1,농구,NBA,보스셀틱,124,1.01,시카불스,97,5.79,Home,UDW,11,29
4,농구,NBA,브루네츠,115,1.59,토론랩터,103,1.87,Home,UDW,11,29
7,농구,NBA,클리캐벌,128,1.35,애틀호크,105,2.37,Home,UDW,11,29
10,농구,NBA,마이히트,124,2.34,밀워벅스,131,1.36,Away,SUW,11,29
13,농구,NBA,뉴욕닉스,115,1.04,샬럿호네,91,4.97,Home,UDW,11,29
16,농구,NBA,미네울브,106,1.52,오클썬더,103,1.98,Home,UDW,11,29
19,농구,NBA,댈러매버,121,1.36,휴스로케,115,2.34,Home,UDW,11,29
22,농구,NBA,새크킹스,124,1.61,골든워리,123,1.85,Home,UDW,11,29
41,농구,WKBL,BNK썸,59,2.31,삼성생명,58,1.37,Home,SUW,11,29
45,배구,KOVO남,OK금융,3,1.26,KB손보,1,2.71,Home,UDW,11,29
48,배구,KOVO여,GS칼텍스,3,1.38,IBK기업,1,2.28,Home,UDW,11,29
